ProductID,ProductName,UnitPrice,Quantity,Subtotal
1000,Presto Fly 3,11999.00,0,11999.00
1001,Superstar Bold 2,11999.00,0,11999.00
1002,Old Skool Lite 3,4999.00,0,4999.00
1003,Air Zoom Structure 2,12999.00,0,12999.00
1004,Flyknit Racer,9999.00,0,9999.00
1005,Superstar Foundation,7999.00,0,7999.00
1006,Old Skool,4499.00,0,4499.00
1007,Air Zoom Pegasus,10999.00,0,10999.00
1008,Stan Smith,6999.00,0,6999.00
1009,Sk8-Hi MTE,5299.00,0,5299.00
1010,Free RN 2,8999.00,0,8999.00
1011,Yung-1,9999.00,0,9999.00
1012,Authentic,3999.00,0,3999.00
1013,Air Force 1,10999.00,0,10999.00
1014,Gazelle,7999.00,0,7999.00
1015,Era,4999.00,0,4999.00
1016,Presto Fly,8999.00,0,8999.00
1017,Superstar Bold,9999.00,0,9999.00
1018,Old Skool Lite,3999.00,0,3999.00
1019,Air Zoom Structure,10999.00,0,10999.00
1020,Stan Smith Bold,7999.00,0,7999.00
1021,Sk8-Hi Pro,5999.00,0,5999.00
1022,Free RN Flyknit,9999.00,0,9999.00
1023,Yung-96,8999.00,0,8999.00
1024,Authentic Lite,3499.00,0,3499.00
1025,Air Max 270,10999.00,0,10999.00
1026,Gazelle Bold,8999.00,0,8999.00
1027,Era Pro,5499.00,0,5499.00
1028,Presto Fly 2,9999.00,0,9999.00
1029,Superstar Foundation 2,10999.00,0,10999.00
1030,Old Skool Lite 2,4499.00,0,4499.00
1031,Air Zoom Pegasus 2,11999.00,0,11999.00
1032,Stan Smith Pro,8999.00,0,8999.00
1033,Sk8-Hi MTE 2,6299.00,0,6299.00
1034,Free RN 3,10999.00,0,10999.00
1035,Yung-1 Pro,10999.00,0,10999.00
1036,Authentic Pro,4999.00,0,4999.00
1037,Air Force 1 Pro,12999.00,0,12999.00
1038,Gazelle Pro,9999.00,0,9999.00
1039,Era Pro 2,5999.00,0,5999.00
1040,Era Pro 2,5999.00,0,5999.00
1041,Presto Fly 3,10999.00,0,10999.00
1042,Superstar Bold 2,11999.00,0,11999.00
1043,Old Skool Lite 3,4999.00,0,4999.00
1044,Air Zoom Structure 2,12999.00,0,12999.00
1045,Stan Smith Bold 2,9999.00,0,9999.00
